airport_2,,inbound_ap,Year,quarter,inbound_passengers,nsmiles,fare,large_ms,fare_lg,lf_ms,fare_low,cluster
STS,11077,STS,2012,2,188,399.0,142.25,0.99,142.47,0.99,142.47,0
STS,11078,STS,2012,3,208,399.0,134.59,0.99,134.48,0.99,134.48,0
STS,11079,STS,2012,4,210,433.0,144.31,0.99,144.4,0.99,144.4,0
STS,11080,STS,2013,1,167,399.0,140.68,0.9900000000000001,140.77,0.9900000000000001,140.77,0
STS,11081,STS,2013,2,224,433.0,138.23,0.99,138.2,0.99,138.2,0
STS,11082,STS,2013,3,238,399.0,143.39,0.99,143.27,0.99,143.27,0
STS,11083,STS,2013,4,216,399.0,141.31,0.99,141.33,0.99,141.33,0
STS,11084,STS,2014,1,180,433.0,139.11,0.99,139.07,0.99,139.07,0
STS,11085,STS,2014,2,203,399.0,149.77,0.98,149.71,0.98,149.71,0
STS,11086,STS,2014,3,256,399.0,148.04,0.98,147.9,0.98,147.9,0
STS,11087,STS,2014,4,206,399.0,159.99,0.99,159.85,0.99,159.85,0
STS,11088,STS,2015,1,168,399.0,157.87,0.99,157.91,0.99,157.91,0
STS,11089,STS,2015,2,229,433.0,159.25,0.99,159.15,0.99,159.15,0
STS,11090,STS,2015,3,275,400.0,152.71,0.99,152.46,0.99,152.46,0
STS,11091,STS,2015,4,267,400.0,150.81,0.99,150.94,0.99,150.94,0
STS,11092,STS,2016,1,243,433.0,145.22588477366256,0.9950444444444444,145.30197530864197,0.9950444444444444,145.30197530864197,0
STS,11093,STS,2016,2,368,433.0,148.5729891304348,0.9901817934782607,148.42942934782607,0.9901817934782607,148.42942934782607,0
STS,11094,STS,2016,3,325,433.0,160.60846153846154,0.992979076923077,160.64504615384615,0.992979076923077,160.64504615384615,0
STS,11095,STS,2016,4,338,433.0,160.2276627218935,0.9935343195266273,160.23349112426035,0.9935343195266273,160.23349112426035,0
STS,11096,STS,2017,1,295,433.0,145.66152542372882,0.9902169491525423,145.52186440677966,0.9902169491525423,145.52186440677966,0
STS,11097,STS,2017,2,369,433.0,147.69146341463414,0.9716902439024392,148.21747967479672,0.017588075880758808,113.68745257452574,0
STS,11098,STS,2017,3,341,433.0,147.9507624633431,0.8884237536656892,150.3218768328446,0.10539472140762463,128.66706744868034,0
STS,11099,STS,2017,4,292,433.0,155.2314383561644,0.88071301369863,157.77051369863014,0.11260445205479451,129.63787671232876,0
STS,11100,STS,2018,1,296,433.0,143.46611486486486,0.8860162162162163,144.8656418918919,0.3818189189189189,126.17969594594595,0
STS,11101,STS,2018,2,365,433.0,143.1656438356164,0.9146076712328768,143.7269863013699,0.3417104109589041,138.29000000000002,0
STS,11102,STS,2018,3,365,433.0,146.51413698630137,0.9187457534246575,145.89219178082195,0.9164273972602739,145.81000000000003,0
STS,11103,STS,2018,4,375,433.0,155.1884266666667,0.9716386666666665,154.92370666666667,0.01889573333333333,147.12413333333333,0
STS,11104,STS,2019,1,329,433.0,158.31088145896655,0.9655723404255319,158.36079027355623,0.3087297872340426,147.589726443769,0
STS,11105,STS,2019,2,413,433.0,164.4034866828087,0.8494566585956417,168.02702179176757,0.380136803874092,145.77523002421307,0
STS,11106,STS,2019,3,477,433.0,154.89054507337525,0.8194205450733751,154.52385744234803,0.37666331236897277,152.9577358490566,0
STS,11107,STS,2019,4,446,433.0,156.54582959641257,0.8566825112107623,157.712466367713,0.36169932735426014,150.69195067264573,0
STS,11114,STS,2022,1,327,433.0,136.6423241590214,0.7884183486238532,128.10409785932723,0.7884183486238532,128.10409785932723,0
STS,11115,STS,2022,2,485,433.0,160.04874226804122,0.8097362886597937,151.84925773195877,0.8097362886597937,151.84925773195877,0
